"","cond","subj","block","trial","stim","resp","rt"
"523","neutral",16,5,3,8,"B",2479
"524","neutral",16,5,4,1,"A",1797
"525","neutral",16,5,5,5,"A",2433
"526","neutral",16,5,6,9,"B",3542
"527","neutral",16,5,7,6,"B",3345
"528","neutral",16,5,8,2,"A",3815
"529","neutral",16,5,9,3,"A",1393
"530","neutral",16,5,10,4,"A",3785
"531","neutral",16,6,1,7,"B",5672
"532","neutral",16,6,2,1,"A",1801
"533","neutral",16,6,3,6,"B",1802
"534","neutral",16,6,4,2,"A",1500
"535","neutral",16,6,5,10,"B",5007
"536","neutral",16,6,6,5,"A",3261
"537","neutral",16,6,7,3,"A",1633
"538","neutral",16,6,8,4,"A",2906
"539","neutral",16,6,9,8,"B",1867
"540","neutral",16,6,10,9,"B",2671
"541","neutral",16,7,1,2,"A",4168
"542","neutral",16,7,2,8,"B",2503
"543","neutral",16,7,3,3,"A",1293
"544","neutral",16,7,4,1,"A",1165
"545","neutral",16,7,5,10,"B",1988
"546","neutral",16,7,6,4,"A",3257
"547","neutral",16,7,7,5,"B",3344
"548","neutral",16,7,8,6,"B",2028
"549","neutral",16,7,9,9,"B",3340
"550","neutral",16,7,10,7,"B",1599
"551","neutral",16,8,1,8,"B",2906
"552","neutral",16,8,2,4,"A",2820
"553","neutral",16,8,3,6,"B",2036
"554","neutral",16,8,4,9,"B",2661
"555","neutral",16,8,5,1,"A",1792
"556","neutral",16,8,6,10,"B",2227
"557","neutral",16,8,7,2,"A",3062
"558","neutral",16,8,8,5,"A",2030
"559","neutral",16,8,9,7,"B",2390
"560","neutral",16,8,10,3,"A",1417
"561","neutral",17,1,1,10,"B",8098
"562","neutral",17,1,2,1,"A",25633
"563","neutral",17,1,3,4,"A",23205
"564","neutral",17,1,4,3,"A",10560
"565","neutral",17,1,5,9,"B",16106
"566","neutral",17,1,6,5,"A",15399
"567","neutral",17,1,7,6,"B",11111
"568","neutral",17,1,8,7,"B",9860
"569","neutral",17,1,9,2,"A",18808
"570","neutral",17,1,10,8,"B",17337
"571","neutral",17,2,1,3,"A",18530
"572","neutral",17,2,2,6,"B",6397
"573","neutral",17,2,3,1,"A",5325
"574","neutral",17,2,4,9,"B",10796
"575","neutral",17,2,5,10,"B",16939
"576","neutral",17,2,6,7,"B",11247
"577","neutral",17,2,7,5,"A",11480
"578","neutral",17,2,8,8,"B",10356
"579","neutral",17,2,9,4,"A",5406
"580","neutral",17,2,10,2,"A",5646
"581","neutral",17,3,1,2,"A",5285
"582","neutral",17,3,2,1,"A",8173
"583","neutral",17,3,3,5,"A",9923
"584","neutral",17,3,4,4,"A",7987
"585","neutral",17,3,5,6,"B",6117
"586","neutral",17,3,6,9,"B",3979
"587","neutral",17,3,7,10,"B",24078
"588","neutral",17,3,8,8,"B",17187
"589","neutral",17,3,9,7,"B",6122
"590","neutral",17,3,10,3,"A",8651
