subj,block,trial,stim,resp,rt
12,8,4,5,A,4653
12,8,5,4,A,9287
12,8,6,2,A,4256
12,8,7,1,A,6128
12,8,8,3,A,2415
12,8,9,10,B,26168
12,8,10,7,A,5846
13,1,1,7,A,7483
13,1,2,2,B,2736
13,1,3,4,A,8775
13,1,4,5,A,7213
13,1,5,8,B,3424
13,1,6,6,B,2779
13,1,7,10,B,6202
13,1,8,1,A,3258
13,1,9,9,B,2538
13,1,10,3,A,2975
13,2,1,10,B,4412
13,2,2,2,A,8630
13,2,3,7,B,1005
13,2,4,6,B,1755
13,2,5,4,A,5287
13,2,6,1,A,2650
13,2,7,3,A,4088
13,2,8,9,B,2012
13,2,9,5,A,3327
13,2,10,8,A,3495
13,3,1,1,A,3535
13,3,2,2,A,3331
13,3,3,9,B,2809
13,3,4,8,A,4373
13,3,5,4,A,2214
13,3,6,10,B,4370
13,3,7,7,B,2301
13,3,8,5,A,3814
13,3,9,6,B,2297
13,3,10,3,A,9160
13,4,1,10,B,5654
13,4,2,8,B,2011
13,4,3,5,A,2090
13,4,4,3,A,4252
13,4,5,4,A,2224
13,4,6,7,B,2488
13,4,7,2,A,2932
13,4,8,6,B,3926
13,4,9,9,B,2374
13,4,10,1,A,1988
13,5,1,7,B,4170
13,5,2,3,A,8043
13,5,3,10,B,2931
13,5,4,8,B,2489
13,5,5,1,A,3333
13,5,6,4,A,1570
13,5,7,2,A,3733
13,5,8,9,B,2889
13,5,9,5,A,2295
13,5,10,6,B,2011
13,6,1,8,B,10162
13,6,2,9,B,2062
13,6,3,1,A,2092
13,6,4,10,B,3497
13,6,5,7,B,3609
13,6,6,6,B,2256
13,6,7,2,A,1578
13,6,8,4,A,1373
13,6,9,3,A,2457
13,6,10,5,A,3814
13,7,1,1,A,1934
13,7,2,10,B,2702
13,7,3,6,B,2337
13,7,4,2,A,1817
13,7,5,8,A,3827
13,7,6,3,A,3113
13,7,7,7,B,2534
13,7,8,5,A,3891
13,7,9,4,A,1417
13,7,10,9,B,936
13,8,1,6,B,2165
13,8,2,9,B,1531
13,8,3,5,A,1492
13,8,4,7,B,1858
13,8,5,10,B,2608
13,8,6,4,A,1109
13,8,7,8,B,3130
13,8,8,1,A,3247
13,8,9,3,A,1981
13,8,10,2,A,2334
14,1,1,4,A,7971
14,1,2,5,A,7206
14,1,3,2,B,3130
14,1,4,3,A,1103
14,1,5,7,A,1261
14,1,6,9,B,934
14,1,7,1,A,977
14,1,8,6,B,1093
14,1,9,10,B,1091
14,1,10,8,B,1260
14,2,1,10,B,6013
14,2,2,9,B,2022
14,2,3,2,B,1339
14,2,4,4,A,1183
14,2,5,8,B,1019
14,2,6,5,A,1300
14,2,7,3,A,1696
14,2,8,1,A,1253
14,2,9,7,A,1217
14,2,10,6,B,1099
14,3,1,10,B,4409
14,3,2,1,A,618
14,3,3,8,B,939
14,3,4,3,A,612
14,3,5,6,B,694
14,3,6,2,B,933
14,3,7,9,B,656
14,3,8,5,A,1142
14,3,9,7,A,1371
14,3,10,4,A,7092
14,4,1,3,A,1462
14,4,2,6,B,1135
14,4,3,8,B,990
14,4,4,5,A,1105
14,4,5,7,A,931
14,4,6,1,A,1054
14,4,7,9,B,939
14,4,8,2,B,811
14,4,9,10,B,812
14,4,10,4,A,1053
14,5,1,10,B,1571
14,5,2,1,A,619
14,5,3,7,A,781
14,5,4,4,A,867
14,5,5,8,B,862
14,5,6,6,B,535
